Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
92821,35533,38.7,17338,18195,13062,2.72
90230,31766,39.1,14932,16834,12883,2.45
90802,39347,34.7,20387,18960,19853,1.93
90305,14853,43.3,6552,8301,5933,2.46
90247,47487,35.5,23217,24270,15830,2.96
91402,69817,30.1,35095,34722,18194,3.81
91343,60254,32.3,30145,30109,16802,3.55
91711,35705,38.6,16777,18928,11868,2.58
91354,28722,36.4,14046,14676,9522,3.01
90703,49399,43.9,23785,25614,15604,3.16
90605,40331,32.6,20033,20298,10527,3.81
90041,27425,39,13212,14213,9513,2.71
90056,7827,48.4,3436,4391,3371,2.32
91506,18904,40.9,9115,9789,7555,2.45
90069,20483,41.5,12153,8330,13364,1.53
90301,36568,32.6,17633,18935,11895,3.01
91306,45061,35.4,22679,22382,13635,3.28
90254,19506,37,10273,9233,9550,2.04
91107,32940,41.2,15940,17000,13028,2.51
91776,38475,39,18751,19724,11776,3.24
91046,156,74,51,105,114,1.37
91361,20438,47.6,9854,10584,8374,2.43
93063,54366,39,26592,27774,18650,2.9
91387,40328,33,20106,20222,12871,3.13
91754,32742,42.9,15620,17122,11193,2.92
90059,40952,25.7,19623,21329,9596,4.19
91722,34409,34,16859,17550,10079,3.41
90095,3,52.5,2,1,2,1.5
90746,25990,40.7,11944,14046,8050,3.14
91768,34537,27.3,17509,17028,7885,3.87
